50
7.18 31.62
29.86 97.14
70.21 83.31
92.60 29.11
43.50 87.61
65.42 93.71
1.13 98.45
20.21 62.61
31.84 25.30
97.87 83.83
68.30 54.06
61.56 4.27
84.20 57.58
49.23 68.52
69.00 6.23
65.11 87.38
20.19 93.77
55.48 52.48
79.76 53.73
76.31 63.65
88.69 78.72
43.34 93.33
5.23 59.84
47.24 86.76
47.31 12.03
91.54 86.21
95.74 26.42
24.30 22.56
20.76 98.62
46.02 68.50
12.13 74.00
52.75 35.11
39.38 80.26
64.27 81.45
70.12 30.16
30.77 43.08
42.26 43.61
43.25 8.94
37.59 36.80
21.51 54.36
59.68 76.77
31.73 71.42
73.15 80.73
85.31 33.07
8.89 19.45
26.80 7.92
17.58 72.18
22.55 30.88
40.63 84.17
4.29 27.41
