100
90.63 99.65
45.00 13.96
19.24 9.07
34.20 9.11
23.91 25.84
56.96 88.73
74.97 41.28
41.39 52.42
37.69 33.82
6.21 27.75
96.77 12.59
50.34 62.96
86.29 21.60
27.10 24.85
39.98 44.59
95.39 84.87
87.29 2.18
3.22 70.95
89.57 47.33
58.72 0.02
39.15 92.68
82.56 85.55
97.22 24.85
10.90 15.44
52.24 68.21
94.15 72.17
64.73 76.48
45.73 55.15
3.95 78.23
23.26 91.99
64.55 30.38
12.80 25.18
63.63 69.86
11.21 7.04
52.44 58.29
38.81 22.36
60.11 1.05
30.15 46.07
95.89 64.46
88.38 47.53
23.48 24.71
96.06 70.47
30.74 2.18
49.83 67.45
42.00 25.73
66.74 92.52
22.68 3.41
33.81 42.06
68.26 19.81
79.71 73.91
50.49 20.52
96.99 31.17
82.00 23.08
22.14 76.05
29.49 95.19
49.58 18.73
22.33 41.70
66.53 94.88
14.64 39.35
21.29 97.41
14.19 5.18
6.01 39.33
89.82 88.36
73.27 99.75
93.16 32.92
18.55 93.59
74.63 3.19
66.44 37.86
16.93 0.29
27.98 35.15
95.55 12.37
96.43 20.74
35.66 82.16
82.20 43.24
4.93 47.35
37.27 91.95
19.30 36.42
89.70 3.03
41.08 81.18
76.67 4.06
3.49 6.26
92.01 25.70
74.73 89.86
33.91 27.23
95.77 61.70
26.22 71.66
31.65 27.56
0.38 75.57
91.65 63.40
94.33 2.43
23.39 47.52
95.68 95.39
38.65 25.10
42.99 49.35
92.81 18.29
82.28 77.28
60.73 32.78
31.95 36.19
78.22 7.90
19.73 75.29
