70
73.07 92.16
37.19 30.72
53.26 54.26
3.62 7.38
50.47 4.42
97.44 13.35
61.17 72.40
5.98 37.47
26.77 92.84
87.49 49.93
12.64 23.61
78.08 15.98
83.49 53.36
48.90 64.66
78.63 3.64
26.74 85.63
24.85 93.74
6.75 11.49
55.33 26.28
76.31 87.20
18.89 39.83
85.53 3.19
9.11 16.13
18.30 62.66
69.51 38.35
42.82 14.74
1.02 32.59
33.53 56.46
77.27 23.41
15.19 13.18
98.48 2.12
67.23 78.59
8.95 40.92
44.59 6.40
95.93 42.55
69.92 25.03
8.94 66.54
55.24 12.20
71.83 70.42
65.88 84.96
17.31 20.71
78.96 33.75
64.36 50.68
54.00 64.49
47.50 37.50
79.08 82.54
20.37 57.90
53.70 10.88
96.53 16.96
29.42 60.97
99.79 30.12
99.11 87.65
24.69 79.15
31.73 47.25
47.20 10.38
94.30 54.94
81.89 89.54
78.69 45.04
75.38 75.71
59.17 86.26
12.16 61.15
70.09 19.37
59.85 33.98
14.34 11.81
65.43 77.07
77.88 41.07
48.63 14.01
63.38 26.35
10.69 32.06
40.94 18.34
