70
55.41 44.05
1.81 33.15
62.39 51.23
6.43 98.51
78.84 97.17
10.48 26.56
3.96 77.90
27.04 12.96
42.23 91.14
81.90 25.86
14.94 91.92
57.06 70.04
8.95 5.75
68.82 42.53
7.24 93.83
63.44 80.16
8.37 85.62
6.66 86.28
45.38 33.92
55.31 92.67
52.69 23.84
10.95 16.14
5.04 20.18
31.20 30.50
75.95 29.00
50.01 17.79
34.70 1.82
25.04 1.53
73.31 55.10
18.95 47.48
93.46 10.63
81.89 43.22
49.50 83.46
39.31 50.67
68.77 98.24
34.27 83.23
70.67 63.60
40.47 34.76
5.44 12.98
7.07 74.09
25.56 16.32
8.45 84.13
87.05 67.05
28.19 24.22
29.31 45.95
15.75 44.58
26.32 96.18
97.26 54.71
24.44 96.57
30.95 35.66
0.11 38.16
47.46 50.28
20.10 50.47
0.50 26.42
8.98 39.95
4.17 2.25
30.42 23.28
58.56 52.92
75.05 65.75
71.60 87.91
38.95 32.61
98.47 14.95
72.42 64.32
4.38 83.53
89.19 62.73
73.39 81.22
13.93 52.38
80.47 82.64
58.41 89.28
68.29 69.33
